2024-07-05 09:28:01 客户端（192.168.19.128）已连接。
2024-07-05 09:28:01 192.168.19.128 login ok.
2024-07-05 10:22:08 recv /myproject/myserver/surfdata/SURF_ZH_20240705102200_9142.xml(125564) ...ok.
2024-07-05 10:23:08 recv /myproject/myserver/surfdata/SURF_ZH_20240705102300_9208.xml(125605) ...ok.
2024-07-05 10:24:09 recv /myproject/myserver/surfdata/SURF_ZH_20240705102400_9324.xml(125537) ...ok.
2024-07-05 10:25:09 recv /myproject/myserver/surfdata/SURF_ZH_20240705102500_9447.xml(125539) ...ok.
2024-07-05 10:26:09 recv /myproject/myserver/surfdata/SURF_ZH_20240705102600_9509.xml(125602) ...ok.
2024-07-05 10:27:09 recv /myproject/myserver/surfdata/SURF_ZH_20240705102700_9570.xml(125576) ...ok.
2024-07-05 10:28:09 recv /myproject/myserver/surfdata/SURF_ZH_20240705102800_9634.xml(125620) ...ok.
2024-07-05 10:29:09 recv /myproject/myserver/surfdata/SURF_ZH_20240705102900_9696.xml(125548) ...ok.
2024-07-05 10:30:09 recv /myproject/myserver/surfdata/SURF_ZH_20240705103000_9764.xml(125555) ...ok.
2024-07-05 10:31:10 recv /myproject/myserver/surfdata/SURF_ZH_20240705103100_9825.xml(125573) ...ok.
2024-07-05 10:32:10 recv /myproject/myserver/surfdata/SURF_ZH_20240705103200_9887.xml(125563) ...ok.
2024-07-05 10:33:10 recv /myproject/myserver/surfdata/SURF_ZH_20240705103300_9967.xml(125552) ...ok.
2024-07-05 10:34:10 recv /myproject/myserver/surfdata/SURF_ZH_20240705103400_10032.xml(125550) ...ok.
2024-07-05 10:35:10 recv /myproject/myserver/surfdata/SURF_ZH_20240705103500_10095.xml(125571) ...ok.
2024-07-05 10:36:10 recv /myproject/myserver/surfdata/SURF_ZH_20240705103600_10156.xml(125621) ...ok.
2024-07-05 10:37:10 recv /myproject/myserver/surfdata/SURF_ZH_20240705103700_10217.xml(125577) ...ok.
2024-07-05 10:38:11 recv /myproject/myserver/surfdata/SURF_ZH_20240705103800_10283.xml(125575) ...ok.
2024-07-05 10:39:11 recv /myproject/myserver/surfdata/SURF_ZH_20240705103900_10344.xml(125543) ...ok.
2024-07-05 10:40:11 recv /myproject/myserver/surfdata/SURF_ZH_20240705104000_10411.xml(125576) ...ok.
2024-07-05 10:41:11 recv /myproject/myserver/surfdata/SURF_ZH_20240705104100_10474.xml(125567) ...ok.
2024-07-05 10:42:11 recv /myproject/myserver/surfdata/SURF_ZH_20240705104200_10535.xml(125618) ...ok.
2024-07-05 10:43:11 recv /myproject/myserver/surfdata/SURF_ZH_20240705104300_10600.xml(125610) ...ok.
2024-07-05 10:44:11 recv /myproject/myserver/surfdata/SURF_ZH_20240705104400_10662.xml(125584) ...ok.
2024-07-05 10:45:11 recv /myproject/myserver/surfdata/SURF_ZH_20240705104500_10757.xml(125579) ...ok.
2024-07-05 10:46:12 recv /myproject/myserver/surfdata/SURF_ZH_20240705104600_10818.xml(125607) ...ok.
2024-07-05 10:47:12 recv /myproject/myserver/surfdata/SURF_ZH_20240705104700_10880.xml(125548) ...ok.
2024-07-05 10:48:12 recv /myproject/myserver/surfdata/SURF_ZH_20240705104800_10964.xml(125576) ...ok.
2024-07-05 10:49:12 recv /myproject/myserver/surfdata/SURF_ZH_20240705104900_11025.xml(125614) ...ok.
2024-07-05 10:50:12 recv /myproject/myserver/surfdata/SURF_ZH_20240705105000_11092.xml(125597) ...ok.
2024-07-05 10:51:12 recv /myproject/myserver/surfdata/SURF_ZH_20240705105100_11154.xml(125572) ...ok.
2024-07-05 10:52:12 recv /myproject/myserver/surfdata/SURF_ZH_20240705105200_11215.xml(125547) ...ok.
2024-07-05 10:53:13 recv /myproject/myserver/surfdata/SURF_ZH_20240705105300_11280.xml(125594) ...ok.
2024-07-05 10:54:13 recv /myproject/myserver/surfdata/SURF_ZH_20240705105400_11342.xml(125601) ...ok.
2024-07-05 10:55:13 recv /myproject/myserver/surfdata/SURF_ZH_20240705105500_11403.xml(125559) ...ok.
2024-07-05 10:56:13 recv /myproject/myserver/surfdata/SURF_ZH_20240705105600_11465.xml(125602) ...ok.
2024-07-05 10:57:13 recv /myproject/myserver/surfdata/SURF_ZH_20240705105700_11526.xml(125573) ...ok.
2024-07-05 10:58:13 recv /myproject/myserver/surfdata/SURF_ZH_20240705105800_11590.xml(125625) ...ok.
2024-07-05 10:59:13 recv /myproject/myserver/surfdata/SURF_ZH_20240705105900_11653.xml(125540) ...ok.
2024-07-05 11:00:13 recv /myproject/myserver/surfdata/SURF_ZH_20240705110000_11719.xml(125577) ...ok.
2024-07-05 11:01:14 recv /myproject/myserver/surfdata/SURF_ZH_20240705110100_11792.xml(125606) ...ok.
2024-07-05 11:02:14 recv /myproject/myserver/surfdata/SURF_ZH_20240705110200_11875.xml(125583) ...ok.
2024-07-05 11:03:14 recv /myproject/myserver/surfdata/SURF_ZH_20240705110300_11939.xml(125548) ...ok.
2024-07-05 11:04:14 recv /myproject/myserver/surfdata/SURF_ZH_20240705110400_12000.xml(125606) ...ok.
2024-07-05 11:05:14 recv /myproject/myserver/surfdata/SURF_ZH_20240705110500_12063.xml(125540) ...ok.
2024-07-05 11:06:14 recv /myproject/myserver/surfdata/SURF_ZH_20240705110600_12124.xml(125600) ...ok.
2024-07-05 11:07:14 recv /myproject/myserver/surfdata/SURF_ZH_20240705110700_12186.xml(125544) ...ok.
2024-07-05 11:08:15 recv /myproject/myserver/surfdata/SURF_ZH_20240705110800_12251.xml(125602) ...ok.
2024-07-05 11:09:15 recv /myproject/myserver/surfdata/SURF_ZH_20240705110900_12313.xml(125528) ...ok.
2024-07-05 11:10:15 recv /myproject/myserver/surfdata/SURF_ZH_20240705111000_12380.xml(125567) ...ok.
2024-07-05 11:11:15 recv /myproject/myserver/surfdata/SURF_ZH_20240705111100_12442.xml(125566) ...ok.
2024-07-05 11:12:15 recv /myproject/myserver/surfdata/SURF_ZH_20240705111200_12503.xml(125588) ...ok.
2024-07-05 11:13:15 recv /myproject/myserver/surfdata/SURF_ZH_20240705111300_12567.xml(125600) ...ok.
2024-07-05 11:14:15 recv /myproject/myserver/surfdata/SURF_ZH_20240705111400_12649.xml(125573) ...ok.
2024-07-05 11:15:15 recv /myproject/myserver/surfdata/SURF_ZH_20240705111500_12711.xml(125543) ...ok.
2024-07-05 11:16:16 recv /myproject/myserver/surfdata/SURF_ZH_20240705111600_12772.xml(125583) ...ok.
2024-07-05 11:17:16 recv /myproject/myserver/surfdata/SURF_ZH_20240705111700_12834.xml(125598) ...ok.
2024-07-05 11:18:16 recv /myproject/myserver/surfdata/SURF_ZH_20240705111800_12899.xml(125592) ...ok.
2024-07-05 11:19:16 recv /myproject/myserver/surfdata/SURF_ZH_20240705111900_12960.xml(125600) ...ok.
2024-07-05 11:20:16 recv /myproject/myserver/surfdata/SURF_ZH_20240705112000_13027.xml(125603) ...ok.
